Problem1-copilot-GPT-4.1-python (Python)
"5,000",2094472.30,2079053.80,2228813.72,2110189.76,44451.73,418.894460,6.59,10.00,"O(log(min(n, m)))",O(n)

Problem3-copilot-Claude-Sonnet-3.5-python (Python)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
50,41840.68,31971.16,63337.92,43465.90,11722.84,836.813600,n/a,n/a,"O(log(min(n, m)))",O(n)
500,226947.42,219437.76,255830.40,229963.30,10996.64,453.894840,5.42,10.00,"O(log(min(n, m)))",O(n)
"5,000",2159744.74,2076646.20,4156064.36,2601002.22,808110.38,431.948948,9.52,10.00,"O(log(min(n, m)))",O(n)

Problem3-copilot-GPT-4.1-C++ (C++)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
100,71.08,70.64,109.90,75.37,11.55,0.710800,n/a,n/a,"O(log(min(n, m)))",O(log n)
"1,000",105.37,96.95,122.04,107.19,8.08,0.105370,1.48,10.00,"O(log(min(n, m)))",O(log n)
"10,000",162.53,151.32,220.06,174.34,23.37,0.016253,1.54,10.00,"O(log(min(n, m)))",O(log n)
"100,000",207.49,130.64,279.86,195.56,47.74,0.002075,1.28,10.00,"O(log(min(n, m)))",O(log n)
"200,000",170.93,160.84,280.09,191.04,41.52,0.000855,0.82,2.00,"O(log(min(n, m)))",O(log n)
"400,000",135.33,125.53,225.69,158.66,39.24,0.000338,0.79,2.00,"O(log(min(n, m)))",O(log n)
"800,000",213.13,168.42,282.60,221.96,29.49,0.000266,1.57,2.00,"O(log(min(n, m)))",O(log n)
"1,600,000",167.34,148.59,245.13,190.57,41.84,0.000105,0.79,2.00,"O(log(min(n, m)))",O(log n)

Problem3-copilot-Claude-Sonnet-3.5-C++ (C++)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
100,83.92,75.79,132.39,94.49,20.56,0.839200,n/a,n/a,"O(log(min(n, m)))",O(log n)
"1,000",142.89,121.32,239.13,153.00,35.64,0.142890,1.70,10.00,"O(log(min(n, m)))",O(log n)
"10,000",174.07,139.54,250.61,184.43,41.48,0.017407,1.22,10.00,"O(log(min(n, m)))",O(log n)
"100,000",214.21,185.87,296.02,222.67,38.29,0.002142,1.23,10.00,"O(log(min(n, m)))",O(log n)
"200,000",290.05,201.62,453.67,299.38,80.17,0.001450,1.35,2.00,"O(log(min(n, m)))",O(log n)
"400,000",347.24,282.52,508.26,369.19,61.70,0.000868,1.20,2.00,"O(log(min(n, m)))",O(log n)
"800,000",297.41,226.93,395.38,304.76,71.50,0.000372,0.86,2.00,"O(log(min(n, m)))",O(log n)
"1,600,000",223.69,214.69,251.39,228.49,13.09,0.000140,0.75,2.00,"O(log(min(n, m)))",O(log n)
